Date,Price,Open,High,Low
2021-09-14,568.8857133981547,576.1905501537697,578.3992420241682,567.8031126712435
2021-09-13,575.9281362868347,573.4293376323418,576.1544542791152,572.4326083923672
2021-09-10,574.6601489757915,572.8103662321539,577.7265673494724,571.3283674736189
2021-09-09,572.1613707840798,568.0852711977319,572.2109470618309,567.3633166529816
2021-09-08,568.8091995294992,568.5321612084443,571.9247198662788,566.6130130625891
2021-09-07,568.5858773313538,560.0986669141072,569.411710123411,559.0826142092728
2021-09-03,555.0660178527152,558.3219687577486,560.0591991073642,553.1552194396231
2021-09-02,557.1623296158612,551.409541511772,557.2134448574968,551.0656753407682
2021-09-01,552.3023565478587,548.7056018332146,554.6589044065278,544.1844981884619
2021-08-31,548.563556436134,544.7062101417869,548.563556436134,541.203331063092
2021-08-30,545.6633363234248,546.73358285131,547.4171796220112,543.3186921958613
2021-08-27,544.2907697300304,540.0040178640417,545.5316715859745,539.8433033023753
2021-08-26,540.3045873258343,545.805366538598,545.8069095341697,539.9635853045102
2021-08-25,546.7261720921614,543.2577676199888,546.7277163506084,542.0455247390204
2021-08-24,543.1108020398701,538.1347550610416,544.3826301962602,537.9601298099211
2021-08-23,536.5527351284624,530.329449888126,537.1884885425508,530.3093897075843
2021-08-20,527.18421214545,529.5191656924876,531.1557866240079,522.2066695379315
2021-08-19,533.6377074928398,535.1390471497645,535.9336022912753,530.6288688368082
2021-08-18,537.5133017689425,530.8909486281827,537.8448820962046,530.1722675467682
2021-08-17,531.4984426558115,541.5409997841305,544.5647145896937,530.1322971597742
2021-08-16,543.2856569151402,542.822279200519,546.4536158907664,542.2909394210868
2021-08-13,542.9069911067194,542.6244441699605,546.578557312253,540.5138339920949
2021-08-12,544.0924948288105,543.780679818468,546.2011052452842,542.3497267759562
2021-08-11,545.300464628066,544.4499328527546,547.070990846364,543.9760430977262
2021-08-10,544.3054955899587,537.9417751187319,544.3054955899587,536.1530870289274
2021-08-09,538.8207903541638,530.6674684305473,540.0866521732428,530.1972030775398
2021-08-06,533.4716544543,534.5900501349788,534.7304280755881,530.1858850752025
2021-08-05,536.5512010896484,535.8036156513125,539.5864289252105,533.8951832590391
2021-08-04,537.8114608305622,532.5094733585956,537.8702343206248,532.1753924677133
2021-08-03,532.919629057187,532.7326120556414,536.4234930448223,530.982998454405
2021-08-02,536.1018260600433,523.9384091612504,536.1018260600433,521.1451562983597
2021-07-30,525.8338621554273,525.9638750019348,526.9977866860654,521.6688077512421
2021-07-29,528.4408785353613,527.2203463337568,529.1982900157988,523.925838728664
2021-07-28,517.9246591171712,517.035667514059,521.6146675910946,510.3951929743471
2021-07-27,519.3505775374784,532.6016834603097,535.123801916933,519.2123371835833
2021-07-26,534.892402622445,545.7786347859623,545.7786347859623,528.3054377169302
2021-07-23,547.8336007900259,551.1233181088754,551.1433773608196,546.4618565609184
2021-07-22,552.5085007727976,550.7975270479135,552.7774343122102,549.967542503864
2021-07-21,550.9495236916986,547.916924409254,551.9438945935915,547.916924409254
2021-07-20,545.4221605366644,542.0726347443905,545.7074562418073,541.1658570437197
2021-07-19,545.3777757231134,544.0478942258795,546.2653907201085,540.3263834311867
2021-07-16,546.314733348769,549.4373697615189,550.4360577294126,546.0723933009184
2021-07-15,551.7941176470589,544.7461300309598,552.001547987616,544.0030959752322
2021-07-14,545.464382883997,550.4622186495177,550.4622186495177,544.9990724709374
2021-07-13,551.3673958413852,548.4409059287316,551.5158073741981,547.7034861250677
2021-07-12,547.9204954363639,547.5127797254096,550.5752806906457,544.7622430541613
